pollution HPI
0.014227 24
0.005433 25
0.074573 24
0.074573 20
0.074573 23
0.125 22
0.000168 32
6.2e-05 38
0.008831 21
0.014227 25
0.001233 30
0.117502 21
0.052497 22
0.117502 18
0.000276 25
0.000168 34
0.005433 28
0.035052 22
0.098306 17
0.074573 24
2.3e-05 39
0.000749 34
0.000102 29
0.008831 25
1e-06 41
0.014227 22
0.000168 33
0.014227 25
0.000276 34
0.002027 30
0.001233 27
0.035052 24
0.000455 26
0.000749 24
0.125 19
0.035052 24
5e-06 35
0.022588 19
0.117502 22
0.003324 30
0.074573 22
0.008831 27
0.000455 32
0.000276 34
0.014227 26
0.000455 28
0.052497 19
0.074573 23
0.000749 32
0.000102 36
