Sex	Marriage	no.of.fam.members	Education	Self.employ	Income	Income.other.fam.member	Credit.in.thousend	Time	Credit.history	Region.of.building	Status
M	Yes	1	Higher	No	4583	1508	128	360	1	Countryside	Reject
M	Yes	0	Higher	Yes	3000	0	66	360	1	City	Accepted
M	Yes	0	Elementary	No	2583	0	120	360	1	City	Accepted
M	No	0	Higher	No	6000	0	141	360	1	City	Accepted
M	Yes	2	Higher	Yes	5417	4196	267	360	1	City	Accepted
M	Yes	0	Elementary	No	2333	0	95	360	1	City	Accepted
M	Yes	3	Higher	No	3036	2504	158	360	0	Suburbs	Reject
M	Yes	1	Elementary	No	1841	10968	349	360	1	Suburbs	Reject
M	Yes	2	Higher	No	3200	700	70	360	1	City	Accepted
M	No	0	Elementary	No	1853	0	114	360	1	Countryside	Reject
M	Yes	2	Higher	No	9299	1086	17	120	1	City	Accepted
M	No	0	Higher	No	4950	0	125	360	1	City	Accepted
F	No	0	Higher	No	3510	0	76	360	0	City	Reject
M	Yes	0	Elementary	No	7660	0	104	360	0	Countryside	Reject
M	Yes	1	Higher	No	5955	5625	315	360	1	City	Accepted
M	Yes	0	Elementary	No	2600	0	116	360	0	Suburbs	Reject
M	Yes	0	Higher	Yes	9560	0	191	360	1	Suburbs	Accepted
M	Yes	2	Elementary	No	4226	1040	110	360	1	City	Accepted
M	No	0	Elementary	No	1442	0	35	360	1	City	Reject
M	No	0	Higher	No	3167	0	74	360	1	City	Reject
M	No	1	Elementary	Yes	4692	0	106	360	1	Countryside	Reject
M	No	3	Elementary	No	1500	3000	320	360	1	Countryside	Reject
F	Yes	0	Higher	No	3667	0	144	360	1	Suburbs	Accepted
M	No	0	Higher	No	3600	0	80	360	1	City	Reject
M	No	0	Higher	No	4800	0	47	360	1	City	Accepted
M	Yes	0	Higher	No	3941	0	134	360	1	Suburbs	Accepted
M	Yes	1	Higher	No	5649	0	44	360	1	City	Accepted
F	Yes	0	Higher	No	2645	0	120	360	0	City	Reject
F	No	0	Higher	No	4000	0	144	360	1	Suburbs	Accepted
F	Yes	0	Elementary	No	3928	0	100	360	1	Suburbs	Accepted
F	No	0	Elementary	No	3086	0	120	360	1	Suburbs	Accepted
F	No	0	Higher	No	4230	0	112	360	1	Suburbs	Reject
